x1,x2,x3,x4,x5
2.8671063728555475,2.5674789579974755,2.666214264414461,3.2557782956063854,2.985543494898712
3.2108414243984615,3.01423130087078,3.354606042082521,2.9188838225524156,2.9589838367441597
2.7366862752785996,2.5355281169031127,3.107693578840305,3.0519181382379115,3.0408034540754856
2.683779724926729,2.748837627682186,3.007487135127683,2.8889410517385326,3.004164955595206
2.6638076418852865,2.35582686202307,2.9166802110994055,3.148087385163065,3.464440368660459
3.168128898352866,3.260229503147652,2.825296784355296,2.8796159693594676,3.2426466502285307
2.906010062279076,2.561809855510712,3.572746019177611,2.87024292408995,2.9362831219694714
3.06788478993424,2.8041439169943088,2.897492048997502,2.877199041264989,2.126393749199565
2.6969947317522447,3.3522990426765102,3.09271461926703,2.4340767248905704,3.178554046390166
2.55932498670185,3.6292256151782567,3.0348031360547463,2.95583833361564,3.352642787461155
3.013770267445493,3.5034298235650265,2.8887982479269345,2.873836924181158,2.960606784177098
2.7475854985183132,2.815123480947804,2.2946138803620775,3.1407196861930693,2.5819546619892826
2.8614737706799303,2.997556095914355,4.227809988492824,2.83336311494806,3.2015141709155697
2.617962493310526,2.7165486420845584,2.893649077223556,2.9881310049918235,2.9297912294739814
3.408948053342248,2.6036431276284113,2.8348936762706822,3.0488374990788847,3.40599239015285
2.516209515427837,2.468995708276092,3.4065949638683417,3.450302997718092,3.170897806142868
3.5073599523073193,2.5305283691303355,3.1663039199503764,2.657825823099274,3.233042677930265
2.8443089719807566,2.8349115346633864,2.245031460132542,3.435894756418377,2.8336119996927516
2.144737111755759,3.232339347481464,3.659670791097608,3.4685312713102565,2.676647697213485
2.8665153630478932,2.8575465399056106,2.814120828359456,2.6483593574668154,2.713949102126827
3.258637563917248,2.859809416815842,3.0505986582701845,3.4319349545818754,2.869891491633952
3.9448429349885696,2.8321798924879698,2.8284888574806692,3.383236549340992,3.2197534231471145
2.96229860804125,3.0104325339337867,3.0940166175597823,2.969897460037395,2.944454042951976
3.159876342521612,3.6926892877065036,3.06079488843474,3.024472198583197,2.8718421643349243
3.0992557685869295,3.1223939094714908,3.268359121935983,3.4415723375981058,2.925091698912065
3.3997358082200257,2.3856226678733408,2.73936038909051,3.2104001117868273,2.7912088683735212
2.472791510122461,3.3059376983297675,3.064586501836582,2.3140790412228345,2.8383851615241302
2.6392866590319994,2.5630705158158165,2.619045040039977,2.798704313220512,3.2856460584116762
2.941645243977748,2.151497635404026,3.307764045297918,3.275791894662307,2.818922079755154
3.6026745797391406,2.5644169388042988,2.938990651053028,3.631431593660571,3.037149581383724
2.9602612638813026,3.013687146864092,2.7534850097481165,2.4551238254779126,3.5860545795176813
3.284875142862461,3.1499814354619646,2.948486562198029,3.0756369548965976,3.4341628278044825
3.5055312993333936,2.8293053511704347,3.1213230868956963,2.8514257710916118,2.926259051381822
2.4128250885173106,3.0503237129872436,3.3708168486210486,2.9415129940476175,3.287215515798442
2.859770552240243,3.293327873824154,3.118694052326992,3.013648637746706,3.244447942330722
2.964928907307444,3.1342085264982043,3.3316781659345422,3.003477297018849,3.307380907735282
2.7321889259914443,3.423833410033685,3.498748264486907,2.614769045565938,3.024653391873121
2.440618385919471,2.7275559722137857,3.3046375820471994,3.121841642855672,2.884073983053562
3.375638927010805,3.1661540524823737,2.7670030355525284,3.074579699492946,2.970063644789283
2.9870309516575704,3.1968253271706724,3.056708483446361,3.0665698324790687,3.104653658951748
2.336640146532031,2.902081159186103,3.0339956064643583,2.9923113861600514,2.743332912040564
2.830965688894752,3.1259960247038716,2.5102681785967915,2.5873653068406233,3.0607273754169575
3.033110881348245,3.271806379697494,2.9014305031926995,3.0785218996546755,3.0317041728888694
2.8861203210878807,2.401718648887332,2.9321240970785154,3.1403319276459163,3.2513445932540748
3.0916100486339104,2.775738420647865,3.2643484753485215,2.7408093656193095,3.417243302724463
3.140226811713778,3.127112342180611,2.3213218005015843,2.882950229049562,3.1772140201253425
3.118883504385222,2.987797382292399,3.391067030818841,3.164873907675238,2.6152898624231478
3.160322177940773,3.0874386795364965,2.5265781182598013,2.885923985064058,2.401068907866109
3.14456466632584,2.8680023589079933,3.5782262240896334,3.826175581553719,3.3333718442446285
3.263022932348049,2.769873563585672,2.4031842772262317,2.8712542180977842,3.205179654314815
2.5460183074972074,3.693960688664464,3.1915358177301822,2.5562791203229343,3.035979182464573
